key,display_code,edition_year,title,status,category,subcategory,compliance_mandatory,verification_level,flags,has_full_text,confidence_tier
IS 1785 (Part 2),IS 1785 (Part 2):1983,1983,Plain Hard-drawn Steel Wire For Prestressed Concrete: Part 2 As Drawn Wire,ACTIVE,Steel & Metallurgy,,True,verified_multi_source,,True,multi_source
IS 1785 (Part I),IS 1785 (Part I):1983,1983,PLAIN HARD-DRAWN STEEL WIRE FOR,ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 1786,IS 1786:2008,2008,High Strength Deformed Steel Bars/Wires for Concrete Reinforcement,ACTIVE,Structural Steel,Reinforcement Bars,True,needs_review,full_text_edition_older_than_current_edition|source_conflict_present|amendment_or_verification_data_self_asserted_not_network_verified,True,multi_source
IS 1795,IS 1795:1982,1982,PILLAR TAPS FOR WATER SUPPLY PURPOSES,ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 1797,IS 1797:1985,1985,Methods of Test for Spices and Condiments,ACTIVE,Food & Agriculture,,False,single_source_unconfirmed,no_full_text,False,single_source
IS 1804,IS 1804,,Steel Wire Ropes - Fibre Main Cores,ACTIVE,Steel & Metallurgy,,True,single_source_unconfirmed,no_scope_or_description|no_full_text,False,single_source
IS 1806,IS 1806,,Malted Milk Foods,ACTIVE,Food & Agriculture,,,single_source_unconfirmed,no_scope_or_description|no_full_text|certification_status_unknown,False,single_source
IS 1823,IS 1823:1980,1980,FLOOR DOOR STOPPERS,ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 1825,IS 1825,,Specification For Aluminium Alloy Milk Cans,ACTIVE,Steel & Metallurgy,,True,single_source_unconfirmed,no_scope_or_description|no_full_text,False,single_source
IS 1826,IS 1826:1961,1961,VENETIAN BLINDS FOR WINDOWS,ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 1827,IS 1827,,"Pesticides - Dimethyl Amine Sl Salts Of 2, 4-d",ACTIVE,"Plastics, Chemicals & Rubber",,,single_source_unconfirmed,no_scope_or_description|no_full_text|certification_status_unknown,False,single_source
IS 1832,IS 1832,,"Specification For Malathion, Technical",ACTIVE,General Engineering & Consumer Goods,,,single_source_unconfirmed,no_scope_or_description|no_full_text|certification_status_unknown,False,single_source
IS 1834,IS 1834:1984,1984,HOT APPLIED SEALING COMPOUNDS,ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 1835,IS 1835,,Round Steel Wire For Ropes,ACTIVE,Steel & Metallurgy,,True,single_source_unconfirmed,no_scope_or_description|no_full_text,False,single_source
IS 1838 (Part 1),IS 1838 (Part 1),,Preformed Fillers For Expansion Joint In Concrete Pavement And Structures (non Extruding And Resilient Type): Part 1 Bitumen Impregnated Fibre - Specification,ACTIVE,Civil & Construction Materials,,True,single_source_unconfirmed,no_scope_or_description|no_full_text,False,single_source
IS 1838 (Part 2),IS 1838 (Part 2):1984,1984,PREFORMED  FILLERS FOR  EXPANSION,ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 1848 (Part 1),IS 1848 (Part 1),,"Writing And Printing Papers Specification Part1Account Book,Azure Lead, Bond, Cream Laid And Cream Wove/printing White/printing Coloured/printing Offset, Printing Maplitho, Printing White Super Calendered And Typewriting Types",ACTIVE,General Engineering & Consumer Goods,,,single_source_unconfirmed,no_scope_or_description|no_full_text|certification_status_unknown,False,single_source
IS 1848 (Part 2),IS 1848 (Part 2),,"Writing And Printing Papers Specification Part2Air Mail/manifold, Cartridge Drawing And Cartridge White,Duplicating Absorbent And Duplicating Semi-absorbent And Poster Machine Glazed Types",ACTIVE,Pumps & Mechanical Equipment,,,single_source_unconfirmed,no_scope_or_description|no_full_text|certification_status_unknown,False,single_source
IS 1852,IS 1852:1985,1985,Rolling and Cutting Tolerances for Hot Rolled Steel Products — Specification,ACTIVE,MECHANICAL,,,unverified,no_full_text|demo_only_unverified_source|certification_status_unknown,False,demo_only
IS 1855,IS 1855,,Stranded Steel Wire Ropes For Winding And Man-riding Haulages In Mines,ACTIVE,Steel & Metallurgy,,True,single_source_unconfirmed,no_scope_or_description|no_full_text,False,single_source
IS 1856,IS 1856,,Steel Wire Ropes For Haulage Purposes,ACTIVE,Steel & Metallurgy,,True,single_source_unconfirmed,no_scope_or_description|no_full_text,False,single_source
IS 1863,IS 1863:1979,1979,ROLLED  STEEL BULB FLATS,ACTIVE,,,,single_source_unconfirmed,certification_status_unknown,True,single_source
IS 1870,IS 1870,,Test Methods for Electrical Accessories,ACTIVE,Testing & Normative Reference,,,single_source_unconfirmed,no_full_text|certification_status_unknown,False,single_source
IS 1875,IS 1875,,"Carbon Steel Billets, Blooms, Slabs And Bars For Forgings",ACTIVE,Steel & Metallurgy,,True,single_source_unconfirmed,no_scope_or_description|no_full_text,False,single_source
IS 1879,IS 1879:1987,1987,Malleable Cast Iron Pipe Fittings Specification _,ACTIVE,Steel & Metallurgy,,True,verified_multi_source,no_scope_or_description,True,multi_source
IS 1893 (Part 1),IS 1893 (Part 1):2016,2016,Earthquake Resistant Design,ACTIVE,Structural Engineering & Codes,Seismic Design,,single_source_unconfirmed,no_full_text|certification_status_unknown,False,single_source
